Object ID,CNN Segment ID,Code,Cross Street 1,Cross Street 2,Detection Type,Cross Street 3,Supervisor District,Cross Street 4,Equipment Type,Vehicle Actuation,Pedestrian Signal,Pedestrian Actuation,Preemption Priority,Upgraded,Year of Contract,Last Upgraded,New Signals Project,Modification Project,Full Upgrade Project,Beacon Flasher,Funding Source,Red Light Camera,Start Year,CALTRANS Route,Maintained CALTRANS,Percent Caltrans Maintenance,Maintained SF,Percent SF Maintenance,Percent Port Maintenance,Last Edited Date,Geom
3201,5331101,Actuated,EVANS,POST OFFICE, , ,10, ,SIGNAL,WIRELESS,ALL,YES, ,NEW DONE, ,1999, , , , ,SALES TAX, ,1999, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7399050709, -122.38279488)"
3202,33708000,Actuated,BROTHERHOOD,CHURCH PARKING LOT (655), , ,7, ,SIGNAL,LOOPS,ALL, , ,NEW DONE,4/01, , , , , ,SALES TAX, ,2001, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7141619084, -122.475488315)"
3203,30021000,Actuated&Preempt,03RD ST,TERRY FRANCOIS, , ,6, ,SIGNAL,WIRELESS,ALL,YES,BRIDGE PREEMPT,FULL DONE, ,1999,NONE,NONE,DONE,NONE,DPW, ,1952, , ,, ,,100,06/21/2017 12:00:00 AM +0000,"(37.7763050914, -122.390038251)"
3204,33776000,Actuated,BRYANT,MAIN, , ,6, ,SIGNAL,LOOPS,ALL,YES, ,NEW DONE,10/99, , , , , ,FEDS, ,2001, , ,, ,,67,06/21/2017 12:00:00 AM +0000,"(37.7869036275, -122.388792648)"
3205,23599000,Actuated,BEALE,BRYANT, , ,6, ,SIGNAL,LOOPS,ALL,YES, ,NEW DONE,10/99, , , , , ,FEDS, ,2001, , ,, ,,40,06/21/2017 12:00:00 AM +0000,"(37.786228724, -122.389649852)"
3206,25098000,Preempt,MASON,WASHINGTON,MECHANICAL, , , ,FLASHER, ,n.a., ,CABLE CAR PREEMPTION,B&F, , ,NONE,NONE,NONE,DONE, , ,1985, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7945315995, -122.411377259)"
3207,25002000,FLASHER,CALIFORNIA,POWELL, , , , ,FLASHER, ,n.a., , ,NEW PENDING, , , , , , ,Prop B Go Bond, ,1954, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7920474608, -122.409184577)"
3208,21444000,Fix,GENEVA,PARIS,OPTICOM, ,11, ,SIGNAL,WIRELESS,ALL,YES,"TSP,FIRE PREEMPT",NEW DONE, ,1999, , , , ,SALES TAX, ,1999, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7156774922, -122.439451683)"
3209,27290000,Fix,08TH AVE,CLEMENT, , ,1, ,SIGNAL, ,ALL, , ,NEW DONE, ,1999,DONE,NONE,NONE,NONE,SALES TAX, ,1999, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7828543495, -122.466575875)"
3210,24800000,Fix,BROADWAY,FRONT, , ,3, ,SIGNAL, ,ALL, , ,FULL DONE,10/99, ,NONE,NONE,DONE,NONE,FEDS, ,2001, , ,, ,,50,06/21/2017 12:00:00 AM +0000,"(37.7987339487, -122.399886672)"
